id,name,contact_phone,contact_email,street_address,website,city,state,zip,latitude,longitude,share_address,share_phone,share_email,created_at,updated_at
1,Healing Hearts Haven,1-731-115-1914,lashaun@kessler.test,870 Yvone Field,http://cole.example/kera,Phoenix,AZ,70325-1789,33.346236296240555,-111.81947754098209,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
2,Dream Safe Haven,1-676-635-1273,breann.erdman@watsica-durgan.example,85946 Miller Burg,http://heaney.test/almeta,Philadelphia,PA,07501-9726,40.16353072947562,-75.29320837398994,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
3,Beloved Shelter,956.264.8373,jules@stanton.example,12078 Wilber Parkways,http://turner-zulauf.example/cliff,Seattle,WA,15224-5138,47.34532331792858,-122.5499610041099,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
4,Serenity Shelter,1-505-654-1999,gustavo_macgyver@labadie-wiza.example,137 Pfeffer Corners,http://deckow.test/kyle_greenholt,Miami,FL,48268,25.739109705903044,-79.86013392111101,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
5,Hope Bridge Shelter,(673) 834-0081,callie_king@runolfsson-abshire.example,5044 Kuvalis Greens,http://kerluke.test/earnest_damore,Detroit,MI,42096,42.230462034813144,-83.17230860412805,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
6,Sheltered Hearts Sanctuary,1-302-176-2309,jerold_williamson@kassulke.example,80408 Bins Dale,http://littel.example/rosamaria.stiedemann,Atlanta,GA,41985,33.949944618713936,-84.02258485783597,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
7,Warm Embrace Refuge,(916) 630-6287,jonas.lindgren@carroll.test,5830 Marlin Parks,http://ullrich.example/kaleigh,Philadelphia,PA,50964-5755,39.872457044568264,-74.97459133305193,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
8,Promise of Tomorrow Refuge,329-964-6306,milford.towne@ziemann.example,19684 Schaden Manor,http://labadie.example/joselyn_will,Nashville,TN,29561-8895,36.27719171820827,-86.99766823091785,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
9,Unity Refuge Center,(276) 849-6301,leesa.gleason@ernser-braun.test,32757 Denis Stream,http://jast.test/olen,Sacramento,CA,97077-5182,38.66824380146113,-121.79101032132522,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
10,Caring Haven,625.251.4433,ima.donnelly@rohan.test,456 Maragret Union,http://hessel.example/rodolfo_batz,Austin,TX,15110-2114,30.40133408151322,-97.74720666306877,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
11,Welcome Winds Refuge,(902) 735-8767,joe_ward@von-lakin.test,481 Dustin Mews,http://mosciski.test/pok,Philadelphia,PA,91167,39.94292633808669,-74.88646033338182,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
12,Safe Passage Shelter,(686) 915-2733,rodolfo_klein@powlowski-ritchie.test,619 Jaskolski Stravenue,http://little-goodwin.test/brad_metz,Mesa,AZ,73708-8988,33.35238817528983,-112.10306861873221,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
13,Bridges of Hope Shelter,502-849-3099,hollis.goyette@nader.example,348 Grimes Roads,http://graham.test/emmy,Columbus,OH,23022,39.6748012116047,-82.64070590703523,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
14,Strength in Unity Haven,361-827-2735,anamaria.corkery@macejkovic-kertzmann.example,7667 Pacocha Key,http://tromp.test/morgan.bartell,Sacramento,CA,66384-5658,38.799945340988415,-121.2496992790226,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
15,Whispering Pines Refuge,155.852.7545,valda_toy@glover-tillman.test,16579 Herman Course,http://sporer-jacobi.example/jefferson,Tulsa,OK,30350,36.32946700330935,-96.09191633930969,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
16,Caring Haven,406.876.4981,adria.mcclure@rice.test,8839 Yong Isle,http://daniel-kassulke.test/gustavo_harris,Mesa,AZ,34550-1612,33.19994819268655,-111.74431635737832,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
17,Community Compass Shelter,823.042.6327,german@lebsack.example,11851 Shayna Pike,http://cremin.example/eric,Long Beach,CA,72086-9940,33.50740506521394,-117.88348529969282,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
18,Sheltered Serenity,940.572.0435,bryce.lynch@doyle-feil.example,36788 Rodney Shore,http://jenkins.test/yun,San Diego,CA,92813,32.85570962896197,-117.08764090474877,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
19,Promise of Tomorrow Refuge,(852) 023-0702,tyron@lowe-reilly.example,1284 Remona Cliff,http://nolan.test/toney,Sacramento,CA,53577,38.35603741016507,-121.33909386694893,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
20,Shelter from the Storm,1-841-443-7142,judith.medhurst@wisoky.example,212 Lovie Wall,http://murray.test/fernande_heathcote,Arlington,TX,85544-0077,32.63312163769936,-97.07028118256468,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
21,Journey to Belonging,918.074.4761,kris@mcclure-dare.example,52548 Peggie Fields,http://hirthe.test/catarina.conroy,Dallas,TX,53981-6815,32.82377284018534,-96.84891575771965,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
22,Strength in Unity Haven,(702) 494-0756,willie@keebler-stroman.example,8684 Dirk Rapids,http://streich.example/arlen,Portland,OR,01319,45.60083595579242,-122.97744837368585,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
23,Angel's Arms Shelter,1-899-300-3426,benton@kerluke.example,4161 Hermiston Mountains,http://hudson.test/molly,"Washington, D.C.",DC,30336-1567,38.783950761941725,-76.99777582873267,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
24,Hope Bridge Shelter,1-547-349-4812,leo@lockman.test,4882 Lonna Way,http://lynch.example/cyndi,San Antonio,TX,56942,29.550308271940498,-98.29194729847997,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
25,Rescue Refuge Center,656.453.4709,newton_kulas@conroy.test,57458 Lilli Branch,http://harris-murray.test/brandy,Sacramento,CA,77423,38.414674323417216,-121.83547808540641,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
26,Open Arms Refuge,509-729-4419,ethan@goldner.example,653 Dillon Groves,http://kovacek.test/orpha,Portland,OR,44683,45.35214994581512,-122.93724539615211,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
27,Homecoming Haven,503.788.9087,mike_lowe@reichert-mayert.test,4415 Anissa Stravenue,http://cole.test/linnea,Oakland,CA,64123-7387,38.04139713768173,-122.27118639569632,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
28,Unity Refuge Center,869-320-5724,moshe_franecki@reinger.example,925 Jakubowski Creek,http://padberg.test/stan_hills,Philadelphia,PA,98865,39.9937692527332,-75.14629996201023,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
29,Hopeful Haven Shelter,1-980-096-9147,dortha.harber@kessler-wunsch.test,851 Tierra Loop,http://metz.example/victorina.bahringer,Mesa,AZ,57291,33.662583937745985,-111.99148191460671,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
30,Bridge to Belonging,1-900-220-4940,olene.strosin@nader-schowalter.test,684 Buckridge Rapids,http://schowalter.example/daryl,Portland,OR,03956-4160,45.5445250647677,-122.7572219942834,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
31,Benevolent Refuge,1-282-992-5854,julene.nolan@damore-grimes.example,8257 Azucena Plains,http://osinski-schoen.example/rosamaria.steuber,Wichita,KS,88954,37.965451835148635,-97.18153832112415,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
32,Unity Refuge Center,(709) 792-6904,gayla@schuppe-zieme.example,85587 Nolan Forks,http://schuster.test/shawn_kreiger,Wichita,KS,73437-1863,37.72983546772977,-97.5570896317368,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
33,New Beginnings Shelter,(555) 420-7386,wade.labadie@berge.example,812 Walter Forges,http://hermann-hettinger.example/jacob_cummings,Seattle,WA,99287-6274,47.68975685280783,-122.54053604646491,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
34,Cherished Dreams Refuge,267.206.6743,shani.ward@kerluke-beahan.example,689 Lonnie Trafficway,http://gusikowski.test/percy,Chicago,IL,83447,41.92724391370731,-87.51693964191695,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
